content_review,setinment,stars_rated,is_clothing,user_id,order_id,prod_id
"Nhưng size tư vấn k chính xác mình mặc thử một chiếc hnay chật và bó đùi, lằn rất khó chịu nên không thể mặc lâu",0,3,1,0,0,0
"Sản phẩm bị lỗi nhỏ, nhưng mặc o nhà ok",1,4,1,0,0,0
"Đặt 2 đôi nhưng chỉ gửi về 1 đôi, đã có nt cho shop nhưng k nhận được phản hồi",-1,1,1,0,0,0
Cho shop 5 sao,1,5,1,0,0,0
Mặc cực kỳ thoải mái nhẹ nhàng luôn í,1,5,1,0,0,0
Thời gian giao hàng rất nhanh,-1,1,1,0,0,0
Shop phục vụ tam ổn,0,3,1,0,0,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt  ,1,5,1,0,0,0
"Chất lượng sản phẩm tuyệt vời.Đẹp,rất hài lòng",1,5,1,0,0,0
"quan giong nhu hinh,phu hop voi gia tien.mac rat vua y",1,5,1,0,0,0
"Ao dep lam, vai mem, min",1,5,1,0,0,0
"Lần đầu mua ở shopp, shop tư vấn rất nhiệt tình, rep ib nhanh hơn tí nữa nha shopp ",1,5,1,0,0,0
"Shop nhiệt tình, giao hàng rất nhanh gọn, quá ok (y)",1,5,1,0,0,0
Nói chung rất là ok.sẽ ủng hộ nữa nha shop,1,5,1,0,0,0
"Shop phục vụ rất tốt ,vải đẹp kiểu dễ thương nhưng mình mặc hơi rộng xíu",1,5,1,0,0,0
"Vải đẹp, đường may đẹp, y hình.nhưng mình mặc hơi chật",1,5,1,0,0,0
"Đóng gói sản phẩm rất đẹp và chắc chắn, mẫu hàng đúng theo hình , tuy nhiên nhận đc hàng phải chờ cả tuần lễ mới có",1,4,1,0,0,0
Size S mà hơi rộng so với người em,-1,2,1,0,0,0
"Đóng gói cẩn thận , chắc chắn, đúng sản phẩm",1,5,1,0,0,0
"Bộ chảo nhìn đẹp và chắc chắn, mua đc hàng Sale khá ưng",1,5,1,0,0,0
Giá tốt,1,5,1,0,0,0
Đặt quả A mà giao B,1,4,1,0,0,0
"Đù má nó đẹp quá,t nặng 52 cân cao m 60 mà mặc vừa và rộng nhé,đẹp y chang hình,chị chủ cute hết xức,hỏi cái rep lun tư vấn từng tí một,quan tâm khách,tại lũ shiper của shoppe mà t bị giao hàng muộn nhưng ko sao nhận đc hàng cái vui như Tết ""ĐỨA NÀO DỌC CMT CỦA BỐ DELL MUA,BỐ VẢ CHẾT""quá đáng tiền",1,5,1,0,0,0
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh,1,5,1,0,0,0
Sản phẩm không giống như trong hình,-1,2,1,0,0,0
B nên lắng nghe khách hàng với,0,3,1,0,0,0
Ren gợi cảm,1,5,1,0,0,0
Mua do hong ra mau giong tim sen v,-1,1,1,0,0,0
May bo kia deu ung chi co bo nay la bi o mau nhin nhu ao cu,-1,1,1,0,0,0
"chất nóng, nói chung ko ưng",-1,1,1,0,0,0
"Cứ mua ở đây cho rẻ mà đúng bobby, xài cho bọn nhỏ ở nhà suốt luôn cucng đỡ đau ví",1,5,1,0,0,0
Rất đáng tiền,1,5,1,0,0,0
Đóng gói sản phẩm rất đẹp và chắc chắn,1,5,1,0,0,0
"Áo lên dáng đẹp, vải mịn không nhăn",1,5,1,0,0,0
Chất lượng sản phẩm tạm được,0,3,1,0,0,0
"Rất đáng tiền, giao hàng nhanh",1,5,1,0,0,0
Áo này màu xinh lắm,1,5,1,0,0,0
Giá trung bình chưa rẻ lắm,0,3,1,0,0,0
Sẽ ủng hộ shop tiếp ạ,1,5,1,0,0,0
San phẩm giống với hình và rất được,1,5,1,0,0,0
Như áo ba mình mặc,0,3,1,0,0,0
Huhu,-1,1,1,0,0,0
Áo form đẹp nhưng vải màu đen bị nhả mà,-1,1,1,0,0,0
qua tuyet,1,5,1,0,0,0
Thank shop,1,5,1,0,0,0
Thời gian giao hàng nhanh,1,5,1,0,0,0
"Chất lượng sản phẩm tuyệt vời, dép nhẹ, chắc chắn dễ đi, nhưng chắc k đi đc trời mưa",1,5,1,0,0,0
Chỉ hơi buồn vì thiếu cổng usb,1,5,1,0,0,0
Giày cực đẹp đi êm đáng tiền,1,5,1,0,0,0
Chảo nhìn đẹp như hình nhưng dùng bị sát chứ không chống dính,0,3,1,0,0,0
Giao hàng nhanh,1,5,1,0,0,0
"Shop giao sai sp, nhug khi liên hệ lại thì ko nhiệt tình cho lắm. 20k ko đáng bao nh mà m bận m cũng ko có thời gian tìm hiểu mà đổi trả luôn",-1,1,1,0,0,0
Chất lượng sản phẩm tuyệt vời,1,5,1,0,0,0
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh Rất đáng tiền,1,5,1,0,0,0
Shop giao hàng rất nhanh,1,5,1,0,0,0
Hang tot cac bạn. 5 ngày giao hang,1,5,1,0,0,0
Chất lượng sản phẩm tuyệt vời .Shop phục vụ rất tốt,1,5,1,0,0,0
"Chất lượng sản phẩm tuyệt vời, shop phục vụ rất tốt, rất đáng tiền",1,5,1,0,0,0
"Áo chất lượng tương đối, còn mùi cao su nồng quá",0,3,1,0,0,0
"chất vải dày dặn rất đẹp, good",1,5,1,0,0,0
K đc đẹp như hình ảnh,-1,1,1,0,0,0
Shop nhiệt tình,1,5,1,0,0,0
Chuẩn kiểu ngon bổ rẻ ,1,5,1,0,0,0
Rất đáng tiền .ok,1,5,1,0,0,0
Quần rộng cực,0,3,1,0,0,0
Giao hàng rất chậm,-1,1,1,0,0,0
Rất đáng tiền!,1,5,1,0,0,0
Giày hơi méo mó k có from giày luôn nhưng chất lượng thì rất ok,1,4,1,0,0,0
Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,1,5,1,0,0,0
Sẽ mua lần 2 ,1,5,1,0,0,0
"Đúng mẫu mã bên ngoài nhưng bên trong chất lượng khá kém, chưa dùng đã bục chỉ và sắp rách",-1,2,1,0,0,0
Áo hơi dài vs to hơn so với hình tí nhưng chắc tại mình ốm vs cũng chả cao lắm,1,5,1,0,0,0
Phù hợp với giá tiền,1,5,1,0,0,0
Đáng đồng tiền,1,5,1,0,0,0
Cảm ơn shop!!!!,1,5,1,0,0,0
Rất không đáng tiền Chất lượng sản phẩm rất kém,-1,1,1,0,0,0
Rất đáng tiền,1,5,1,0,0,0
"Chất áo đẹp, mỗi tội áo to quá",1,5,1,0,0,0
Shop phục vụ như l :)),-1,1,1,0,0,0
"Size không chính xác, áo quá nóng, kiểu thực tế ko đẹp",-1,1,1,0,0,0
Chắc phải sửa lại chút chút    ,1,5,1,0,0,0
Hay shop cho rằng bán giá rẻ rồi thì khách mua hàng ko đáng để shop tư vấn,-1,1,1,0,0,0
Đóng gói sản phẩm rất đẹp và chắc chắn Váy cầm nặng tay luôn,1,5,1,0,0,0
"Tuy đường may rất đẹp nhưng mẫu lại hơi khác so với hình, đặc biệt là sơ mi nam",0,3,1,0,0,0
Hình 1 kiểu giao áo 1 kiểu khác hoàn toàn,-1,1,1,0,0,0
Đặt ba áo giống nhau mà shop gửi 2 cái giống nhau 1 cái khác,1,4,1,0,0,0
Chất lượng sản phẩm tuyệt vời,1,5,1,0,0,0
Sẽ ủng hộ shop trong thời gian tới,1,5,1,0,0,0
Quá thất vọng,-1,1,1,0,0,0
Làn trước hài lòng còn lần này quá thất vọng,-1,1,1,0,0,0
Bị rách đường chỉ nữa,-1,1,1,0,0,0
giao sai màu áo,-1,2,1,0,0,0
Shop nhiệt tình còn tặng quà cho nữa,1,5,1,0,0,0
Anh chủ shop giúp đỡ rất nhiều!!!,1,5,1,0,0,0
Đóng gói sản phẩm rất chắc chắn,1,5,1,0,0,0
Tripod bằng nhựa lên dễ bị gãy..,0,3,1,0,0,0
Shop đem sai,-1,1,1,0,0,0
Chất lượng sản phẩm tuyệt vời,1,5,1,0,0,0
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,1,5,1,0,0,0
Đường kéo khóa tốt,1,5,1,0,0,0
Nói chung là yêu    ,1,5,1,0,0,0
"Đóng gói sản phẩm rất đẹp và chắc chắn, hàng giống hình :)",1,5,1,0,0,0
Thời gian giao hàng nhanh,1,5,1,0,0,0
Khá hài lòng,1,5,1,0,0,0
"Chất tốt, có bị nhầm lẫn về kiểu dáng sản phẩm, tuy nhiên nhận được phản hồi từ shop khá nhanh nên cũng thông cảm",1,4,1,0,0,0
Đóng gói sản phẩm chắc chắn Chất lượng sản phẩm tốt Shop phục vụ khá tốt,1,5,1,0,0,0
Thời gian giao hàng nhanh Giá cả chấp nhận được,1,4,1,0,0,0
Quần rất đẹp,1,5,1,0,0,0
vải rất xinh màu chuẩn,1,5,1,0,0,0
Chủ shop dễ thương,1,5,1,0,0,0
"áo mút mỏng, mặc đẹp, ngực nhỏ nên chọn size nhỏ hơn bình thường (bình thường 36 chọn 34)",0,3,1,0,0,0
"Tay mình nhỏ nên găng tay rộng, phần cổ tay còn thừa chứ ng khác đeo chỉ thừa bàn tay chút",-1,1,1,0,0,0
Shop phục vụ rất tốt,1,5,1,0,0,0
Hộp đựng giầy rất ok,1,5,1,0,0,0
Chất liệu phải lộn xộn không đồng nhất,-1,1,1,0,0,0
"Chưa dùng voucher chưa biết thế nào, thường đi ăn thanh toán trực tiếp thì rất ok",0,3,1,0,0,0
Dây hơi ngắn Đóng gói sản phẩm chắc chắn,1,5,1,0,0,0
m.n nhìn là biết nó như thế nào rồi này,1,5,1,0,0,0
From rộng,1,5,1,0,0,0
"Bán hàng phải có tâm chút, ko có hàng thì phải báo, để ngta đổi mẫu hoặc ko lấy nữa",-1,1,1,0,0,0
"Thời gian giao hàng rất nhanh, chất vải hơi thô",-1,2,1,0,0,0
Rất đáng tiền Thời gian giao hàng rất nhanh,1,5,1,0,0,0
Mô tả của shop là dưới 55kg mặc được,0,3,1,0,0,0
Chất lượng sản phẩm tuyệt vời.dây cột ngắn quá cột k đc,1,4,1,0,0,0
Chất lượng sản phẩm tuyệt vời,1,5,1,0,0,0
"Áo mỏng quá trời,áo có dán size thì lúc đầu ghi là có size đi,đưa áo nhỏ như gì   ",-1,1,1,0,0,0
Mác vải bên trong là size 38/85 nhưng mác giấy bên ngoài là 34/75,-1,1,1,0,0,0
Mình mua áo mặc ko vừa muốn đổi mà nt lại thấy shop ko trả lời,-1,1,1,0,0,0
Vải hơi cứng,0,3,1,0,0,0
"Shop tư vấn nhiệt tình, giao hàng nhanh",1,5,1,0,0,0
Chất lượng sản phẩm tuyệt vời,1,5,1,0,0,0
Váy đẹp chất được đáng tiền mua,1,5,1,0,0,0
"Hàng đẹp lắm ,thanks shop, chỉ là đọc ko kỹ miếng dán dạng lưới mà thành miếng dán lưới nên hơi bùn, vs lại shop giao hơi lâu, sẽ ủng hộ",1,5,1,0,0,0
Rất đáng tiền  Shop phục vụ rất tốt  Chất lượng sản phẩm tuyệt vời  Sẽ ủng hộ tiếp nè ,1,5,1,0,0,0
"Giao đúng mẫu, đúng màu sắc và mã số đặt hàng",1,5,1,0,0,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,1,5,1,0,0,0
"Shop tư vấn nhiệt tình, có tâm, hàng chất lượng y hình, sẽ ủng hộ shop",1,5,1,0,0,0
Của các con màu vàng đậm còn của bố mẹ lại nhạt,-1,1,1,0,0,0
Hàng rất đẹp,1,5,1,0,0,0
Mong ad điều chỉnh lại,-1,2,1,0,0,0
Vừa rẻ vừa đẹp luôn ấy ạ,1,5,1,0,0,0
Áo ko giống như trong hình,-1,1,1,0,0,0
"Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đángtiền,hài lòng với sản phẩm này",1,5,1,0,0,0
sản phẩm rất đẹp,1,5,1,0,0,0
"Bảo cường lực mà ship cho nilon dán màn, đã thế lại còn k dán được vào đt",-1,1,1,0,0,0
Áo hơi chặt so với mình mặc hơi kích chất vải thì ok đẹp co dãn,1,4,1,0,0,0
Đêm hôm vẫn rep tin nhắn khách,1,5,1,0,0,0
Chất lượng sản phẩm tuyệt vời!!,1,5,1,0,0,0
Test thử thấy dùng được,1,5,1,0,0,0
Quần đẹp dã man biết vậy mua 2 cái    1m65 54kg bận đẹp nè còn rộng đùi nữa mà đùi mình to lắm nhé,1,5,1,0,0,0
"Vải thì khỏi bàn, mua ở shop gần lờn mặt luôn gòi",1,5,1,0,0,0
Áo rách ngay vai trước 1 vết lù lù này mà shop vẫn gửi hàng đc,-1,1,1,0,0,0
Mỗi tội mình mất ship cao quá huhu,1,5,1,0,0,0
Phí tiền,-1,1,1,0,0,0
Dùng như k dùng,-1,1,1,0,0,0
"Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền, ok xài ngon cho 5 *",1,5,1,0,0,0
Chúc shop làm ăn phát tài nhaa  ,1,5,1,0,0,0
Tất thấm hút mồ hôi chân tốt,1,5,1,0,0,0
,1,5,1,0,0,0
Nt shop onl nhưng k rep,-1,1,1,0,0,0
"Chất lượng sản phẩm tốt nhưng đóng gói không đc toits lắm, chai bị đổ rồi",1,4,1,0,0,0
"Chất lượng sản phẩm phù hợp vs giá tiền, vải mỏng chất mặc hơi nóng nhưng form áo khá ok",1,5,1,0,0,0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,1,5,1,0,0,0
"Chất tốt, Shop phục vụ rất tốt",1,5,1,0,0,0
Giao hàng nhanh,1,5,1,0,0,0
"Hàng y hình, đóng gói ko cẩn thận nên quả ngực bị móp, giao hàng chậm",0,3,1,0,0,0
Không đáng tiền,-1,1,1,0,0,0
Quần rất đẹp,1,5,1,0,0,0
Hàng đẹp đúng giá tiền,1,5,1,0,0,0
Chất vải khá ổn,1,4,1,0,0,0
"áo rất ok nhé , vải mịn , len cao cổ này phối form mùa đông thì quá chất m.ng nhé",1,5,1,0,0,0
